site,date_start,date_end,d18O,d2H,dxs,precip_amt,air_temp,vapor_pres,type,qc_flag
THULE (GREENLAND),01/11/1970,30/11/1970,-0.0257,,,19,-15,1.4,GNIP,0
THULE (GREENLAND),01/12/1970,31/12/1970,-0.0268,,,62,-22.8,0.9,GNIP,0
THULE (GREENLAND),01/01/1971,31/01/1971,-0.0308,,,5,-24.4,0.6,GNIP,0
THULE (GREENLAND),01/02/1971,28/02/1971,-0.0331,,,5,-27.2,0.3,GNIP,0
THULE (GREENLAND),01/03/1971,31/03/1971,-0.031,,,4,-23.8,0.4,GNIP,0
THULE (GREENLAND),01/04/1971,30/04/1971,-0.0218,,,6,-18.9,1,GNIP,0
THULE (GREENLAND),01/05/1971,31/05/1971,,,,4,-6.7,2.2,GNIP,0
THULE (GREENLAND),01/06/1971,30/06/1971,-0.017,,,1,1.7,4.8,GNIP,0
THULE (GREENLAND),01/07/1971,31/07/1971,-0.0175,,,6,4.4,6.7,GNIP,0
THULE (GREENLAND),01/08/1971,31/08/1971,,,,40,2.2,5.4,GNIP,0
THULE (GREENLAND),01/09/1971,30/09/1971,-0.0186,,,79,-1.1,3.3,GNIP,0
THULE (GREENLAND),01/10/1971,31/10/1971,,,,49,-10.6,1.7,GNIP,0
THULE (GREENLAND),01/11/1971,30/11/1971,,,,67,-20,0.7,GNIP,0
THULE (GREENLAND),01/12/1971,31/12/1971,,,,25,-30,0.3,GNIP,0
